11.72,19.04,-44.82
11.72,19.04,-45.12
11.43,18.75,-45.12
10.84,19.04,-45.70
11.13,18.75,-44.24
11.43,19.04,-44.82
11.13,19.04,-44.82
11.43,19.34,-45.70
12.60,18.75,-44.82
13.18,18.46,-43.95
12.60,18.75,-43.07
12.60,17.87,-42.77
11.72,16.99,-42.48
11.43,16.11,-42.48
11.72,15.53,-42.48
10.84,15.53,-43.65
11.43,15.23,-43.07
11.72,14.65,-43.36
11.72,14.36,-43.36
12.30,14.65,-43.65
12.60,13.48,-43.36
12.01,13.18,-42.48
12.60,13.48,-43.07
12.01,13.18,-43.07
12.30,13.18,-42.48
12.30,13.18,-42.48
12.30,13.18,-42.48
12.30,13.18,-42.48
12.30,13.18,-42.48
12.30,13.18,-42.48
12.30,13.18,-42.48
12.30,13.18,-42.48
14.06,8.50,-43.07
14.94,8.79,-43.36
15.53,8.20,-42.19
16.70,7.62,-41.60
18.16,7.62,-41.31
20.21,5.57,-39.84
21.09,5.86,-39.55
22.85,5.57,-41.31
23.44,5.86,-41.31
26.07,6.45,-41.89
26.66,7.03,-41.89
27.83,7.62,-42.19
28.13,7.32,-41.89
26.95,7.03,-42.48
25.78,7.03,-42.48
24.32,7.03,-43.36
22.85,4.10,-42.77
18.16,3.81,-42.48
12.60,5.57,-43.07
9.08,8.50,-44.24
7.32,12.30,-44.53
7.91,16.99,-44.24
8.20,21.09,-44.24
10.55,24.61,-43.65
13.48,25.49,-43.07
15.82,27.25,-43.95
15.82,27.25,-43.95
15.82,27.25,-43.95
22.27,28.13,-44.53
24.02,27.83,-45.41
26.07,27.25,-46.00
28.71,26.66,-46.58
29.00,26.07,-46.29
25.20,29.30,-49.22
18.16,30.18,-50.39
11.72,26.95,-50.39
8.20,22.56,-49.22
7.32,19.34,-48.34
7.32,16.70,-45.41
7.03,13.18,-43.07
7.62,8.50,-41.60
9.08,4.69,-40.14
10.84,3.52,-38.96
13.18,2.64,-39.26
16.11,2.34,-38.96
18.46,2.05,-37.21
20.51,2.64,-37.79
23.73,3.22,-38.67
26.07,4.69,-39.26
27.54,5.57,-38.38
27.54,5.57,-38.09
29.00,6.74,-36.91
29.59,8.50,-37.21
31.35,10.25,-36.04
31.05,10.84,-36.33
31.64,12.01,-36.62
31.35,11.13,-34.57
31.05,10.84,-33.40
31.05,10.25,-34.57
31.05,9.38,-34.57
30.76,8.50,-34.86
30.47,7.91,-35.16
29.88,6.74,-34.86
29.59,6.74,-35.16
28.42,4.69,-35.74
26.95,3.52,-36.04
26.95,3.22,-36.04
26.07,2.64,-36.62
24.32,2.93,-35.74
22.85,1.17,-35.16
21.39,1.17,-35.45
19.63,0.59,-34.57
17.29,0.29,-34.57
15.23,0.88,-33.98
13.48,0.59,-33.40
11.43,1.76,-33.69
9.67,3.22,-34.86
7.62,6.15,-35.16
6.45,7.62,-35.45
5.86,8.79,-34.57
6.15,9.96,-35.45
4.98,11.72,-35.16
5.57,13.77,-36.62
5.27,15.23,-35.74
5.86,18.16,-36.33
7.03,19.92,-37.79
7.91,22.56,-37.79
10.25,24.90,-36.62
12.89,26.66,-35.45
14.36,27.25,-36.62
17.29,27.54,-35.45
19.63,27.54,-35.45
21.68,27.83,-35.45
23.73,26.95,-37.50
25.78,26.07,-36.91
26.07,25.20,-37.21
27.54,24.61,-37.79
28.13,24.32,-38.38
29.00,22.85,-38.67
29.88,22.56,-38.96
29.88,21.68,-38.96
31.05,21.09,-39.26
31.35,21.09,-39.84
31.64,20.51,-40.14
31.35,21.09,-40.72
31.05,20.80,-40.14
29.59,21.97,-39.26
27.25,23.14,-39.26
25.49,24.61,-39.84
22.27,25.20,-41.31
21.39,25.20,-40.14
19.34,25.49,-40.72
16.99,25.49,-40.14
14.06,25.78,-40.43
10.84,24.90,-39.84
7.62,23.14,-38.38
5.27,19.63,-36.91
2.93,16.99,-36.33
2.05,10.25,-34.57
3.22,8.20,-34.57
3.52,4.69,-34.57
4.98,4.39,-34.86
7.03,2.64,-35.16
9.67,1.46,-34.28
13.77,-0.29,-32.23
17.29,-0.59,-32.81
19.92,-0.29,-32.52
21.97,0.59,-32.23
25.20,2.64,-33.11
28.13,4.69,-31.93
28.71,6.15,-33.11
29.30,6.45,-32.52
30.18,8.79,-32.81
31.05,10.55,-33.40
30.76,12.89,-33.11
31.05,14.36,-33.40
30.76,15.53,-34.86
31.05,16.70,-33.98
31.35,17.58,-33.69
31.64,17.29,-33.40
30.18,17.29,-32.52
31.05,15.82,-33.69
31.05,15.23,-33.98
31.05,13.77,-34.28
31.05,10.55,-33.98
31.05,8.20,-34.28
29.59,7.03,-34.28
28.42,4.39,-33.98
25.78,0.88,-33.40
21.68,-0.59,-34.28
18.16,-1.17,-35.16
13.77,-0.59,-35.74
11.43,1.46,-36.04
8.20,2.93,-36.91
6.45,5.27,-37.50
4.10,8.79,-38.38
4.10,13.18,-38.38
4.69,18.16,-40.14
4.98,20.21,-38.38
6.45,20.80,-37.50
10.25,23.73,-38.38
10.25,23.73,-38.38
18.75,26.66,-38.38
23.14,26.37,-37.21
28.13,23.73,-35.74
31.35,19.34,-34.28
33.11,16.11,-33.69
33.40,14.36,-33.40
33.69,12.89,-33.40
34.28,11.43,-34.86
33.69,10.84,-35.74
33.98,11.43,-35.45
33.11,14.36,-34.57
31.93,16.70,-35.45
30.47,20.51,-36.62
28.71,23.14,-36.62
24.61,24.02,-35.74
20.51,25.20,-36.62
